nombre,provincia,web,email,telefono,direccion
Club Deportivo Elemental Gimnasia Rítmica Torrelodones,Madrid,,clubgrtorrelodones@gmail.com,616259897,"Plaza de José María Unceta, 4-6"
Club Deportivo Elemental Las Cruces,Madrid,https://ritmicalascruces.es/,cdelascruces@gmail.com,669096632,"Avda de los poblados, 72"
Club Deportivo Elemental Rítmica Elegance,Madrid,,ritmicaelegance@hotmail.com,609123380,"c/ Juana Frances, 2. Nave 4"
Club Deportivo Elemental Vallesport,Madrid,,vallesport14@gmail.com,699934670,"C/ Peñaranda de Bracamonte, 9"
Club Deportivo Enter,Madrid,http://www.clubdeportivoenter.es/,info@clubdeportivoenter.es,644407046,"Pabellón Deportivo Fontenebro International School"
Club Deportivo Gimnástico Colmenar Viejo,Madrid,https://www.cdgcolmenarviejo.com/,c.d.g.colmenarviejo@gmail.com,644737276,"c/Huertas, 55"
Club Deportivo Gran Capitán,Madrid,https://ritmicagrancapitan.com/,ritmicagrancapitan@gmail.com,669400989,"Polideportivo Marqués de Samaranch"
Club Deportivo GSD - Alcalá,Madrid,http://www.clubdeportivogsd.com/,cdalcala@gsd.coop,918303864,"C/ Octavio Paz, 29"
Club Deportivo GSD - El Escorial,http://www.clubdeportivogsd.com/,cdelescorial@gsd.coop,918533521,"C/ Principal, 1 Urb. C. B. Los Arroyos"
Club Deportivo GSD - Guadarrama,http://www.clubdeportivogsd.com/,cdguadarrama@gsd.coop,918547059,"Vereda del Colmenar, 4"
Club Deportivo GSD - Las Rozas,http://www.clubdeportivogsd.com/,cdlasrozas@gsd.coop,916408923,"C/ Clara Campoamor, 1"
Club Deportivo GSD - Las Suertes,http://www.clubdeportivogsd.com/,cdlassuertes@gsd.coop,913853505,"C/ Rafael de León, 10"
Club Deportivo GSD - Moratalaz,http://www.clubdeportivogsd.com/,cdmoratalaz@gsd.coop,917723811,"C/ Luis de Hoyos Sainz, 170"
Club Deportivo GSD - Vallecas,http://www.clubdeportivogsd.com/,cdvallecas@gsd.coop,917853412,"Avenida Parque Palomeras Bajas, 14"
Club Deportivo Loreto Madrid,Madrid,,marinag4e@gmail.com,648140681,"Principe de Vergara 42"
Club Escuela Gimnasia Torrejón,Madrid,http://www.ritmicatorrejon.es,cegtorrejon@hotmail.com,677175701,"Pabellón José Antonio Paraíso"
Club Escuela Municipal de Gimnasia Majadahonda,Madrid,http://www.clubgimnasiamajadahonda.es/,clubescuelagimnasiamajadahonda@gmail.com,916388401,"Avenida Reyes Católicos, 5"
Club Gimnasia Artística San Agustín,Madrid,,cgartisticasanagustin@gmail.com,666708105,"C/Julián Berrendero s/n"
Club Gimnasia Ciudad de Móstoles,Madrid,https://www.gimnasiaciudaddemostoles.com/,clubciudaddemostoles@gmail.com,629884704,"Pabellón Rafa Martínez"
Club Gimnasia Rítmica Arabeska,Madrid,https://www.clubarabeska.com/,contacto@clubarabeska.com,637230982,"Centro Deportivo Municipal El Olivillo, c/ Olivillo, 4"
Club Gimnasia Rítmica Barajas,Madrid,,cgrbarajas@gmail.com,646686994,"Polideportivo Villa de Madrid"
Club Gimnasia Rítmica Colmenar de Oreja,Madrid,,desire1995_1@hotmail.com,626615622,"Calle Madrid n°8"
