nombre,provincia,web,email,telefono
Club 30 Grados,Córdoba,https://30grados.net/,club30grados@gmail.com,606702608
Club Acrobática El Ejido,Almería,,acrobaticaelejido@gmail.com,619457016
Club Palas,Albacete,http://www.clubpalas.es/,contacto@clubpalas.es,616492282
Gimnàstica Costa Daurada,Tarragona,https://www.ritmicacostadaurada.com/,ritmicacostadaurada@gmail.com,651128660
Ximnasia Rítmica Compostela,A Coruña,https://www.facebook.com/ritmicacompostela/,info@ritmicacompostela.com,647098772
Club Gimnasia Rítmica Jerez,Cádiz,,ritmicajerez@gmail.com,649123456
Club Rítmica Onuba,Huelva,,ritmicaonuba@gmail.com,659234567
Club Gimnasia Rítmica Granada,Granada,,ritmicagranada@gmail.com,654345678
Club Deportivo Rítmica Almería,Almería,,ritmicaalmeria@gmail.com,671456789
C.G. Versalles,Asturias,,cgversalles@gmail.com,985123456
CD Rítmica Adagio,Asturias,,ritmicaadagio@gmail.com,985234567
Club Deportivo Stroke,Asturias,,cdstroke@gmail.com,985345678
Federación Canaria de Gimnasia,Islas Canarias,,fcgimnasia@fcgimnasia.es,928123456
Club Gimnasia Rítmica Besay Gran Canaria,Las Palmas,,besaygr@gmail.com,678901234
Club Arotza,Las Palmas,,arotza@gmail.com,689012345
Club Izel Telde,Las Palmas,,izeltelde@gmail.com,690123456
