nombre,provincia,web,email,telefono
Club Deportivo GSD - Vallecas,Madrid,http://www.clubdeportivogsd.com/,cdvallecas@gsd.coop,917853412
Club Deportivo Loreto Madrid,Madrid,,marinag4e@gmail.com,648140681
Club Escuela Gimnasia Torrejón,Madrid,http://www.ritmicatorrejon.es,cegtorrejon@hotmail.com,677175701
Club Escuela Municipal de Gimnasia Majadahonda,Madrid,http://www.clubgimnasiamajadahonda.es/,clubescuelagimnasiamajadahonda@gmail.com,916388401
Club Gimnasia Artística San Agustín,Madrid,,cgartisticasanagustin@gmail.com,666708105
Club Gimnasia Ciudad de Móstoles,Madrid,https://www.gimnasiaciudaddemostoles.com/,clubciudaddemostoles@gmail.com,629884704
Club Gimnasia Rítmica Arabeska,Madrid,https://www.clubarabeska.com/,contacto@clubarabeska.com,637230982
Club Gimnasia Rítmica Barajas,Madrid,,cgrbarajas1@gmail.com,646686994
Club Gimnasia Ritmica Colmenar de Oreja,Madrid,,desire1995_1@hotmail.com,626615622
Federación Andaluza de Gimnasia,Andalucía,,info@andaluciagym.com,954296092
Federación Madrileña de Gimnasia,Madrid,,,917251649
Club Gimnasia Rítmica Málaga,Málaga,http://ritmicamalaga.com/,667627954
Club Deportivo Gimnasia Rítmica Fahala,Málaga,,,613026768
Club Deportivo Gimnasia Rítmica Solhail Mijas,Málaga,,,625741207
Club Aldetor Gimnasia Rítmica,Málaga,,,630674756
Club Gimnasia Rítmica Sirka Ritmo,Málaga,https://www.clubsirkaritmo.es.com/,666413400
Club Palas,Albacete,http://www.clubpalas.es/,contacto@clubpalas.es,616492282
Club Gimnàstica Rítmica Costa Daurada,Tarragona,https://www.ritmicacostadaurada.com/,ritmicacostadaurada@gmail.com,651128660
Club Deportivo Ximnasia Rítmica Compostela,A Coruña,https://www.facebook.com/ritmicacompostela/,info@ritmicacompostela.com,647098772
